"filename", "language", "JavaScript", "CSS", "SCSS", "JSON", "comment", "blank", "total"
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewScheduleCreate.js", "JavaScript", -8, 0, 0, 0, 0, -5, -13
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewScheduleEdit.js", "JavaScript", -8, 0, 0, 0, 0, -5, -13
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Interview\IntervieweeList.js", "JavaScript", -61, 0, 0, 0, -6, -14, -81
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Newcontents\Member.js", "JavaScript", -38, 0, 0, 0, 0, -11, -49
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Newcontents\MemberList.js", "JavaScript", -45, 0, 0, 0, -3, -15, -63
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Profile\FormProfile.js", "JavaScript", -151, 0, 0, 0, -101, -18, -270
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Profile\Profile.js", "JavaScript", -102, 0, 0, 0, -1, -12, -115
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Profile\ProfileCheck.js", "JavaScript", -68, 0, 0, 0, 0, -13, -81
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Profile\ProfileCreate.js", "JavaScript", -180, 0, 0, 0, -100, -15, -295
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Profile\ProfileEdit.js", "JavaScript", -195, 0, 0, 0, -98, -23, -316
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Report\Report.js", "JavaScript", -57, 0, 0, 0, 0, -5, -62
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Report\ReportInspect.js", "JavaScript", -68, 0, 0, 0, 0, -9, -77
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Report\ReportList.js", "JavaScript", -23, 0, 0, 0, 0, -3, -26
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\RoleSetting\RoleList.js", "JavaScript", -68, 0, 0, 0, 0, -12, -80
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\RoleSetting\RoleSetting.js", "JavaScript", -35, 0, 0, 0, 0, -9, -44
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\CreateDetail.js", "JavaScript", -111, 0, 0, 0, -5, -21, -137
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\CreateFileform.js", "JavaScript", -86, 0, 0, 0, 0, -9, -95
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\CreateRateform.js", "JavaScript", -87, 0, 0, 0, 0, -7, -94
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\Scholarship.js", "JavaScript", -36, 0, 0, 0, 0, -8, -44
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\ScholarshipCreate.js", "JavaScript", -57, 0, 0, 0, -14, -18, -89
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\ScholarshipEdit.js", "JavaScript", -289, 0, 0, 0, -13, -43, -345
